trade_id,bot_id,algo_id,ticker,entry_price,exit_price,entry_time,exit_time,entry_trigger_price,exit_trigger_price,entry_trigger_time,exit_trigger_time,trade_size,trade_direction,trade_pnl,trade_status
1,4,2,TSLA,346.23,346.85,2025-02-11 20:50:31.625626,2025-02-11 20:50:42.884448,,346.85,,2025-02-11 20:50:42.884448,10000.00,SHORT,-0.62,closed
2,4,2,TSLA,346.26,346.63,2025-02-11 20:50:53.903746,2025-02-11 20:51:50.749822,,346.63,,2025-02-11 20:51:50.749822,10000.00,SHORT,-0.37,closed
3,4,2,TSLA,346.24,346.87,2025-02-11 20:52:05.441612,2025-02-11 20:52:31.176666,,346.87,,2025-02-11 20:52:31.176666,10000.00,SHORT,-0.63,closed
4,4,2,TSLA,346.27,346.60,2025-02-11 20:52:43.419923,2025-02-11 20:53:19.724613,,346.60,,2025-02-11 20:53:19.724613,10000.00,SHORT,-0.33,closed
5,4,2,TSLA,346.23,346.74,2025-02-11 20:54:17.433371,2025-02-11 20:54:32.702726,,346.74,,2025-02-11 20:54:32.702726,10000.00,SHORT,-0.51,closed
6,4,2,TSLA,346.39,345.85,2025-02-11 20:54:43.908246,2025-02-11 20:57:13.680965,,345.85,,2025-02-11 20:57:13.680965,10000.00,SHORT,0.54,closed
7,4,2,TSLA,345.59,344.77,2025-02-11 20:57:28.705981,2025-02-11 21:00:12.746352,,344.77,,2025-02-11 21:00:12.746352,10000.00,SHORT,0.82,closed
11,4,2,TSLA,344.54,345.15,2025-02-11 21:01:01.604503,2025-02-11 21:01:35.106130,,345.15,,2025-02-11 21:01:35.106130,10000.00,SHORT,-0.61,closed
12,4,2,TSLA,344.77,343.20,2025-02-11 21:02:20.694657,2025-02-11 21:06:06.373981,,343.20,,2025-02-11 21:06:06.373981,10000.00,SHORT,1.57,closed
13,3,2,COIN,278.18,277.70,2025-02-11 21:02:36.203483,2025-02-11 21:03:36.155103,,277.70,,2025-02-11 21:03:36.155103,10000.00,LONG,-0.48,closed
14,2,1,COIN,277.88,277.95,2025-02-11 21:03:12.681579,2025-02-11 21:04:09.795840,,277.95,,2025-02-11 21:04:09.795840,10000.00,SHORT,-0.07,closed
15,2,1,COIN,277.59,276.85,2025-02-11 21:04:13.812964,2025-02-11 21:05:07.264106,,276.85,,2025-02-11 21:05:07.264106,10000.00,SHORT,0.74,closed
17,2,1,COIN,276.13,276.56,2025-02-11 21:05:18.532632,2025-02-11 21:06:06.120968,,276.56,,2025-02-11 21:06:06.120968,10000.00,SHORT,-0.43,closed
19,3,2,COIN,276.51,276.11,2025-02-11 21:06:14.135729,2025-02-11 21:06:18.639233,,276.11,,2025-02-11 21:06:18.639233,10000.00,LONG,-0.40,closed
20,4,2,TSLA,342.87,342.94,2025-02-11 21:06:17.386671,2025-02-11 21:09:05.444804,,342.94,,2025-02-11 21:09:05.444804,10000.00,SHORT,-0.07,closed
21,3,2,COIN,276.70,276.13,2025-02-11 21:06:20.146231,2025-02-11 21:06:40.321715,,276.13,,2025-02-11 21:06:40.321715,10000.00,LONG,-0.57,closed
22,2,1,COIN,276.39,276.75,2025-02-11 21:06:27.409485,2025-02-11 21:06:44.356186,,276.75,,2025-02-11 21:06:44.356186,10000.00,SHORT,-0.36,closed
23,3,2,COIN,276.56,276.00,2025-02-11 21:06:43.097690,2025-02-11 21:07:16.908405,,276.00,,2025-02-11 21:07:16.908405,10000.00,LONG,-0.56,closed
